business_id,business_type,date,source_category,activity,amount,unit,emission_factor,emissions_kgCO2e,scope
B0001,Bakery,2024-01,electricity,electricity_consumption,264.0,kWh,0.359,94.776,Scope 2
B0001,Bakery,2024-01,waste,food_composting,87.34,kg,0.2,17.468,Scope 3
B0001,Bakery,2024-01,waste,plastic_landfill,53.38,kg,2.5,133.45000000000002,Scope 3
B0001,Bakery,2024-01,waste,paper_recycling,98.67,kg,-0.4,-39.468,Scope 3
B0001,Bakery,2024-01,transport,car_diesel,275.6,km,0.201,55.39560000000001,Scope 3
B0001,Bakery,2024-01,transport,car_petrol,83.1,km,0.225,18.6975,Scope 3
B0001,Bakery,2024-01,transport,delivery_van,196.9,km,0.315,62.023500000000006,Scope 3
B0001,Bakery,2024-01,business_travel,flight,750.0,passenger-km,0.15,112.5,Scope 3
B0001,Bakery,2024-01,commute,motorbike,3200.0,km,0.112,358.40000000000003,Scope 3
B0001,Bakery,2024-01,commute,bus,8200.0,passenger-km,0.09,738.0,Scope 3
B0001,Bakery,2024-01-01,water,water_supply,130.0,m3,0.344,44.72,Scope 3
B0001,Bakery,2024-01-01,water,wastewater_unmanaged,91.0,m3,0.708,64.428,Scope 3
B0001,Bakery,2024-02,electricity,electricity_consumption,544.0,kWh,0.359,195.296,Scope 2
B0001,Bakery,2024-02,waste,food_landfill,46.07,kg,1.4,64.49799999999999,Scope 3
B0001,Bakery,2024-02,waste,plastic_recycling,86.1,kg,-0.4,-34.44,Scope 3
B0001,Bakery,2024-02,waste,paper_recycling,36.35,kg,-0.4,-14.54,Scope 3
B0001,Bakery,2024-02,transport,bus,2142.0,passenger-km,0.09,192.78,Scope 3
B0001,Bakery,2024-02,transport,delivery_van,79.5,km,0.315,25.0425,Scope 3
B0001,Bakery,2024-02,transport,car_petrol,158.8,km,0.225,35.730000000000004,Scope 3
B0001,Bakery,2024-02,transport,car_diesel,31.0,km,0.201,6.231000000000001,Scope 3
B0001,Bakery,2024-02,business_travel,motorbike,50.0,passenger-km,0.112,5.6000000000000005,Scope 3
B0001,Bakery,2024-02-01,water,water_supply,122.0,m3,0.344,41.968,Scope 3
B0001,Bakery,2024-02-01,water,wastewater_unmanaged,85.39999999999999,m3,0.708,60.4632,Scope 3
B0001,Bakery,2024-03,electricity,electricity_consumption,811.0,kWh,0.359,291.149,Scope 2
B0001,Bakery,2024-03,waste,food_composting,45.06,kg,0.2,9.012,Scope 3
B0001,Bakery,2024-03,waste,plastic_landfill,57.59,kg,2.5,143.97500000000002,Scope 3
B0001,Bakery,2024-03,waste,paper_landfill,26.64,kg,1.0,26.64,Scope 3
B0001,Bakery,2024-03,transport,car_petrol,168.8,km,0.225,37.98,Scope 3
B0001,Bakery,2024-03,transport,bus,1403.4,passenger-km,0.09,126.306,Scope 3
B0001,Bakery,2024-03-01,water,water_supply,140.0,m3,0.344,48.16,Scope 3
B0001,Bakery,2024-03-01,water,wastewater_unmanaged,98.0,m3,0.708,69.384,Scope 3
B0001,Bakery,2024-04,electricity,electricity_consumption,291.0,kWh,0.359,104.469,Scope 2
B0001,Bakery,2024-04,waste,food_landfill,50.39,kg,1.4,70.54599999999999,Scope 3
B0001,Bakery,2024-04,waste,plastic_recycling,23.17,kg,-0.4,-9.268,Scope 3
B0001,Bakery,2024-04,waste,paper_landfill,68.23,kg,1.0,68.23,Scope 3
B0001,Bakery,2024-04,transport,delivery_van,249.1,km,0.315,78.4665,Scope 3
B0001,Bakery,2024-04,transport,car_petrol,224.1,km,0.225,50.4225,Scope 3
B0001,Bakery,2024-04,transport,motorbike,80.2,km,0.112,8.9824,Scope 3
B0001,Bakery,2024-04-01,water,water_supply,130.0,m3,0.344,44.72,Scope 3
B0001,Bakery,2024-04-01,water,wastewater_unmanaged,91.0,m3,0.708,64.428,Scope 3
B0001,Bakery,2024-05,electricity,electricity_consumption,500.0,kWh,0.359,179.5,Scope 2
B0001,Bakery,2024-05,waste,food_landfill,73.94,kg,1.4,103.516,Scope 3
B0001,Bakery,2024-05,waste,plastic_landfill,81.76,kg,2.5,204.4,Scope 3
B0001,Bakery,2024-05,waste,paper_landfill,85.71,kg,1.0,85.71,Scope 3
B0001,Bakery,2024-05,transport,car_petrol,297.4,km,0.225,66.91499999999999,Scope 3
B0001,Bakery,2024-05-01,water,water_supply,144.0,m3,0.344,49.536,Scope 3
B0001,Bakery,2024-05-01,water,wastewater_unmanaged,100.8,m3,0.708,71.3664,Scope 3
B0001,Bakery,2024-06,electricity,electricity_consumption,262.0,kWh,0.359,94.058,Scope 2
B0001,Bakery,2024-06,waste,food_composting,30.64,kg,0.2,6.128,Scope 3
B0001,Bakery,2024-06,waste,plastic_landfill,94.45,kg,2.5,236.125,Scope 3
B0001,Bakery,2024-06,waste,paper_landfill,24.84,kg,1.0,24.84,Scope 3
B0001,Bakery,2024-06,transport,car_petrol,227.5,km,0.225,51.1875,Scope 3
B0001,Bakery,2024-06,transport,bus,320.0,passenger-km,0.09,28.8,Scope 3
B0001,Bakery,2024-06,transport,car_diesel,139.3,km,0.201,27.999300000000005,Scope 3
B0001,Bakery,2024-06-01,water,water_supply,148.0,m3,0.344,50.912,Scope 3
B0001,Bakery,2024-06-01,water,wastewater_unmanaged,103.6,m3,0.708,73.3488,Scope 3
B0001,Bakery,2024-07,electricity,electricity_consumption,437.0,kWh,0.359,156.883,Scope 2
B0001,Bakery,2024-07,waste,food_composting,28.19,kg,0.2,5.638000000000001,Scope 3
B0001,Bakery,2024-07,waste,plastic_landfill,21.4,kg,2.5,53.5,Scope 3
B0001,Bakery,2024-07,waste,paper_recycling,68.14,kg,-0.4,-27.256,Scope 3
B0001,Bakery,2024-07,transport,bus,721.5,passenger-km,0.09,64.935,Scope 3
B0001,Bakery,2024-07,transport,car_diesel,170.7,km,0.201,34.3107,Scope 3
B0001,Bakery,2024-07-01,water,water_supply,125.0,m3,0.344,43.0,Scope 3
B0001,Bakery,2024-07-01,water,wastewater_unmanaged,87.5,m3,0.708,61.95,Scope 3
B0001,Bakery,2024-08,electricity,electricity_consumption,299.0,kWh,0.359,107.341,Scope 2
B0001,Bakery,2024-08,waste,food_landfill,59.26,kg,1.4,82.964,Scope 3
B0001,Bakery,2024-08,waste,plastic_landfill,96.04,kg,2.5,240.1,Scope 3
B0001,Bakery,2024-08,waste,paper_landfill,98.31,kg,1.0,98.31,Scope 3
B0001,Bakery,2024-08,transport,car_diesel,165.3,km,0.201,33.225300000000004,Scope 3
B0001,Bakery,2024-08,transport,bus,1635.2,passenger-km,0.09,147.168,Scope 3
B0001,Bakery,2024-08,transport,motorbike,73.9,km,0.112,8.276800000000001,Scope 3
B0001,Bakery,2024-08-01,water,water_supply,121.0,m3,0.344,41.624,Scope 3
B0001,Bakery,2024-08-01,water,wastewater_unmanaged,84.69999999999999,m3,0.708,59.9676,Scope 3
B0001,Bakery,2024-09,electricity,electricity_consumption,453.0,kWh,0.359,162.627,Scope 2
B0001,Bakery,2024-09,waste,food_landfill,42.49,kg,1.4,59.486,Scope 3
B0001,Bakery,2024-09,waste,plastic_landfill,89.37,kg,2.5,223.425,Scope 3
B0001,Bakery,2024-09,waste,paper_recycling,38.04,kg,-0.4,-15.216,Scope 3
B0001,Bakery,2024-09,transport,motorbike,166.8,km,0.112,18.681600000000003,Scope 3
B0001,Bakery,2024-09,transport,delivery_van,130.4,km,0.315,41.076,Scope 3
B0001,Bakery,2024-09-01,water,water_supply,107.0,m3,0.344,36.808,Scope 3
B0001,Bakery,2024-09-01,water,wastewater_unmanaged,74.89999999999999,m3,0.708,53.0292,Scope 3
B0001,Bakery,2024-10,electricity,electricity_consumption,819.0,kWh,0.359,294.021,Scope 2
